

 clock  | self+sourced |   self:|  sourced script
317.237 | 000.034 | 000.034| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/heex.vim
317.349 | 000.031 | 000.031| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/hjson.vim
317.458 | 000.030 | 000.030| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/json5.vim
317.566 | 000.029 | 000.029| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/julia.vim
317.682 | 000.037 | 000.037| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/ledger.vim
317.792 | 000.031 | 000.031| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/nix.vim
317.902 | 000.030 | 000.030| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/ql.vim
318.029 | 000.048 | 000.048| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/query.vim
318.137 | 000.026 | 000.026| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/surface.vim
318.241 | 000.025 | 000.025| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/teal.vim
318.605 | 000.063 | 000.063| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/tlaplus.vim
318.830 | 000.037 | 000.037| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/yang.vim
318.960 | 000.028 | 000.028| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/zig.vim
326.090 | 000.132 | 000.132| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
328.836 | 000.104 | 000.104| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/plenary.nvim/plugin/plenary.vim
335.023 | 000.539 | 000.539| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/telescope.nvim/plugin/telescope.vim
336.214 | 000.422 | 000.422| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/trouble.nvim/plugin/trouble.vim
337.633 | 000.704 | 000.704| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/vim-kitty/ftdetect/kitty.vim
340.009 | 000.748 | 000.748| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/vim-surround/plugin/surround.vim
341.691 | 000.794 | 000.794| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/start/vim-textobj-user/autoload/textobj/user.vim
344.363 | 003.705 | 002.911| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/vim-textobj-entire/plugin/textobj/entire.vim
345.655 | 000.166 | 000.166| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/vim-visual-star-search/plugin/visual-star-search.vim
346.457 | 000.215 | 000.215| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/vim-visualrepeat/plugin/visualrepeat.vim
347.215 | 000.151 | 000.151| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/vim-you-keep-using-that-word/plugin/ykutw.vim
347.761 | 030.054|         | loading ackages
348.441 | 000.679|         | loading fter plugins
348.470 | 000.029|         | inits 3
354.834 | 006.364|         | reading haDa
369.195 | 001.470 | 001.470 |sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/autoload/dist/ft.vim
381.140 | 002.229 | 002.229 |sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/autoload/htmlcomplete.vim
381.510 | 004.595 | 002.366 |sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/ftplugin/html.vim
435.607 | 001.303 | 001.303 |sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/indent/javascript.vim
566.973 | 133.791 | 132.488 |sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/indent/html.vim
595.881 | 004.674 | 004.674 |sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/syntax/javascript.vim
601.243 | 004.261 | 004.261 |sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/syntax/vb.vim
660.394 | 058.002 | 058.002 |sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/syntax/css.vim
683.859 | 095.438 | 028.502 |sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/syntax/html.vim
825.568 | 000.526 | 000.526 |sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/ftplugin/html.vim
838.881 | 000.387 | 000.387 |sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/indent/html.vim
863.711 | 000.595 | 000.595 |sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/syntax/javascript.vim
868.242 | 003.779 | 003.779 |sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/syntax/vb.vim
1076.930|  201.787|  201.787| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/syntax/css.vim
1096.318|  242.828|  036.668| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/syntax/html.vim
